Age,Sex,Province,Vehicle
26.0,ชาย,สงขลา,รถจักรยานยนต์
45.0,หญิง,หนองคาย,รถจักรยานยนต์
44.0,ชาย,ปทุมธานี,รถจักรยานยนต์
58.0,ชาย,เชียงใหม่,รถจักรยานยนต์
42.0,ชาย,นครพนม,รถยนต์
63.0,หญิง,หนองคาย,รถจักรยานยนต์
28.0,ชาย,กรุงเทพมหานคร,รถจักรยานยนต์
74.0,ชาย,ขอนแก่น,รถจักรยานยนต์
58.0,ชาย,ตาก,รถจักรยานยนต์
18.0,ชาย,มหาสารคาม,รถจักรยานยนต์
47.0,ชาย,ศรีสะเกษ,รถจักรยานยนต์
39.0,หญิง,พังงา,คนเดินเท้า
18.0,ชาย,นครศรีธรรมราช,รถยนต์
53.0,ชาย,สกลนคร,รถจักรยานยนต์
25.0,ชาย,ลพบุรี,รถจักรยานยนต์
57.0,ชาย,อุบลราชธานี,รถยนต์
18.0,หญิง,แพร่,รถจักรยานยนต์
71.0,หญิง,พิษณุโลก,รถยนต์
28.0,หญิง,อุบลราชธานี,รถจักรยานยนต์
56.0,หญิง,แพร่,รถจักรยานยนต์
14.0,หญิง,สิงห์บุรี,รถจักรยานยนต์
19.0,ชาย,มหาสารคาม,รถจักรยานยนต์
47.0,ชาย,สกลนคร,รถจักรยานยนต์
56.0,ชาย,มหาสารคาม,รถยนต์
13.0,ชาย,ยโสธร,รถจักรยานยนต์
18.0,ชาย,ปทุมธานี,รถยนต์
42.0,ชาย,พระนครศรีอยุธยา,คนเดินเท้า
14.0,ชาย,มหาสารคาม,รถจักรยานยนต์
59.0,ชาย,แพร่,รถจักรยานยนต์
55.0,ชาย,พระนครศรีอยุธยา,รถจักรยานยนต์
24.0,หญิง,เชียงใหม่,รถจักรยานยนต์
27.0,ชาย,เชียงใหม่,รถจักรยานยนต์
68.0,หญิง,สุราษฎร์ธานี,รถจักรยานยนต์
84.0,ชาย,มหาสารคาม,รถจักรยานยนต์
33.0,หญิง,ยโสธร,รถยนต์
53.0,ชาย,ปทุมธานี,รถจักรยานยนต์
58.0,ชาย,มหาสารคาม,รถยนต์
25.0,ชาย,พิษณุโลก,รถจักรยานยนต์
53.0,ชาย,ตาก,รถยนต์
47.0,หญิง,ตรัง,คนเดินเท้า
8.0,ชาย,ตาก,รถจักรยานยนต์
29.0,ชาย,เชียงใหม่,รถยนต์
20.0,ชาย,อ่างทอง,รถจักรยานยนต์
34.0,ชาย,สมุทรสาคร,รถจักรยานยนต์
16.0,ชาย,ปทุมธานี,รถจักรยานยนต์
28.0,ชาย,เชียงใหม่,รถยนต์
61.0,หญิง,นครราชสีมา,รถจักรยานยนต์
34.0,หญิง,ตาก,รถจักรยานยนต์
26.0,หญิง,เชียงใหม่,รถจักรยานยนต์
40.0,ชาย,เชียงราย,รถยนต์
15.0,ชาย,สระบุรี,รถจักรยานยนต์
23.0,ชาย,เชียงใหม่,รถจักรยานยนต์
80.0,ชาย,นครราชสีมา,รถจักรยานยนต์
63.0,ชาย,ร้อยเอ็ด,รถจักรยานยนต์
23.0,ชาย,ร้อยเอ็ด,รถจักรยานยนต์
19.0,ชาย,เชียงใหม่,รถจักรยานยนต์
82.0,ชาย,เชียงราย,รถจักรยาน
19.0,หญิง,ปทุมธานี,รถจักรยานยนต์
33.0,ชาย,ลำปาง,รถยนต์
45.0,หญิง,ลำพูน,รถจักรยานยนต์
63.0,ชาย,เพชรบุรี,รถจักรยานยนต์
53.0,ชาย,พระนครศรีอยุธยา,รถจักรยานยนต์
82.0,ชาย,มหาสารคาม,รถจักรยานยนต์
16.0,ชาย,สุโขทัย,รถจักรยานยนต์
68.0,ชาย,ฉะเชิงเทรา,รถยนต์
53.0,ชาย,สุโขทัย,รถจักรยานยนต์
36.0,ชาย,กรุงเทพมหานคร,รถจักรยานยนต์
40.0,ชาย,มุกดาหาร,รถจักรยานยนต์
25.0,ชาย,พระนครศรีอยุธยา,รถจักรยานยนต์
54.0,ชาย,ปทุมธานี,รถจักรยานยนต์
